PO:0000001	embryo proper	胚本体   
PO:0000002	anther wall	葯壁   
PO:0000003	whole plant	植物体全体   
PO:0000004	in vitro plant structure	培養下植物構造
PO:0000005	cultured plant cell	培養植物細胞   
PO:0000006	plant protoplast	植物プロトプラスト
PO:0000007	leaf-derived cultured plant cell	葉由来植物培養細胞
PO:0000008	root-derived cultured plant cell	根由来植物培養細胞
PO:0000009	cultured plant callus	培養植物カルス   
PO:0000010	cultured plant embryo	培養植物胚   
PO:0000011	cultured somatic plant embryo	培養植物体細胞不定胚   
PO:0000012	apical hook	頂端かぎ状屈曲構造
PO:0000013	cauline leaf	茎生葉、茎葉   
PO:0000014	rosette leaf	ロゼット葉   
PO:0000015	cotyledon primordium	子葉原基（可視的）
PO:0000016	lateral root primordium	側根原基   
PO:0000017	leaf primordium	葉原基   
PO:0000018	ovule primordium	胚珠原基（可視的）   
PO:0000019	gynoecium primordium	雌蕊原基(可視的）  
PO:0000020	starch sheath cell	デンプン鞘細胞
PO:0000021	petal primordium	花弁原基（可視的）   
PO:0000022	plant cuticle	植物クチクラ   
PO:0000023	casparian strip	カスパリー線
PO:0000024	filiform apparatus	繊形装置
PO:0000025	root tip	根端   
PO:0000026	primary root tip	一次根端   
PO:0000027	lateral root tip	側根端   
PO:0000028	pollen tube tip	花粉管先端部   
PO:0000029	root hair tip	根毛端   
PO:0000030	septum	隔壁   
PO:0000031	lenticel	皮目   
PO:0000032	tetrad of microspores	小胞子の四分子   小胞子四分子
PO:0000033	fruit valve	果実の弁   
PO:0000034	vascular system	維管束系   
PO:0000035	cotyledon vascular system	子葉維管系   
PO:0000036	leaf vascular system	葉維管系   
PO:0000037	shoot apex	シュート頂、茎頂   
PO:0000038	primary endosperm cell	一次胚乳細胞   
PO:0000039	shoot axis vascular system	シュート軸維管系   
PO:0000040	adventitious root nodule	不定根根粒   
PO:0000041	epidermal cork cell	表皮コルク細胞   
PO:0000042	shoot-borne root	シュート細胞由来の根 
PO:0000043	crown root	冠根   
PO:0000044	prop root	支柱根、支持根、支柱気根   
PO:0000045	embryo root	初期の根、胚根   
PO:0000046	seminal root	種子根   
PO:0000047	leaf lamina epidermis	葉身表皮   
PO:0000048	leaf lamina vascular system	葉身維管系   
PO:0000049	leaf lamina abaxial epidermis	葉身背軸側表皮   
PO:0000050	leaf lamina adaxial epidermis	葉身向軸側表皮   
PO:0000051	petiole epidermis	葉柄表皮   
PO:0000052	petiole vascular system	葉柄維管系   
PO:0000053	petiole cortex	葉柄皮層   
PO:0000054	petal vascular system	花弁維管系   
PO:0000055	bud	芽   
PO:0000056	flower bud	花芽   
PO:0000057	inflorescence bud	花序芽   
PO:0000058	vegetative bud	枝芽   
PO:0000059	root initial cell	根始原細胞   
PO:0000060	root cortex-endodermis initial cell	根皮層内皮始原細胞   
PO:0000061	lateral root-cap-epidermal initial cell	側根冠表皮始原細胞   
PO:0000062	stomatal initial	気孔始原細胞
PO:0000063	leaf procambial cell	葉前形成層細胞
PO:0000064	xylem pole pericycle cell	木質部孔鞘細胞
PO:0000065	phloem pole pericycle cell	師部極内鞘細胞
PO:0000066	epithem cell	被覆組織細胞   
PO:0000071	companion cell	伴細胞   
PO:0000074	parenchyma cell	柔組織細胞   
PO:0000075	collenchyma cell	厚角組織 細胞   
PO:0000076	chlorenchyma cell	同化組織、葉緑組織 細胞   
PO:0000077	sclerenchyma cell	厚膜組織 細胞   
PO:0000078	transfer cell	転送細胞   
PO:0000079	fusiform initial	紡錘形始原細胞   
PO:0000081	axial cell	軸細胞   
PO:0000082	ray initial	放射組織始原細胞   
PO:0000084	plant sperm cell	植物精子細胞   
PO:0000112	shoot axis epidermis	シュート軸表皮   
PO:0000115	socket cell	ソケット細胞   
PO:0000146	abscission zone	離層   
PO:0000191	synergid	助細胞   
PO:0000198	free nuclear endosperm	遊離核型胚乳   
PO:0000199	cellular endosperm	細胞性胚乳   
PO:0000200	micropylar endosperm	珠孔内胚乳   
PO:0000201	chalazal cyst	カラザの嚢   
PO:0000207	nectary epidermis	蜜腺表皮   
PO:0000223	shoot axis cortex	シュート軸皮層   
PO:0000224	central zone	中央帯   
PO:0000225	peripheral zone	周辺帯   
PO:0000226	rib zone	髄状帯
PO:0000229	flower meristem	花芽分裂組織   
PO:0000230	inflorescence meristem	花序分裂組織   
PO:0000232	axillary bud meristem	腋芽分裂組織   
PO:0000244	functional megaspore	機能的大胞子   
PO:0000245	degenerate megaspore	退化大胞子、胞子形成に寄与しない大胞子   
PO:0000252	endodermis	内皮   
PO:0000256	root hair cell	根毛細胞   
PO:0000258	root cortex	根皮層   
PO:0000262	trichoblast	根毛形成細胞、トリコブラスト
PO:0000263	atrichoblast	非毛根形成細胞、アトリコブラスト
PO:0000272	protoxylem	原生木（質）部   
PO:0000273	xylem element	木部要素   
PO:0000274	xylem fiber cell	木部繊維細胞   
PO:0000282	trichome	毛茸、糸状体、毛   
PO:0000283	idioblast	異形(型）細胞
PO:0000284	subsidiary cell	助細胞,副細胞（気孔）(auxiliary cell, synergid)   
PO:0000289	sieve tube element	師(篩）管要素   
PO:0000290	tracheary element	管状要素   
PO:0000293	guard cell	孔辺細胞   
PO:0000295	cambial initial	形成層始原細胞   
PO:0000301	tracheid	仮導管   
PO:0000309	nectary parenchyma	蜜腺柔組織   
PO:0000332	epidermal pavement cell	表皮被蓋細胞   
PO:0000349	epidermal initial	表皮始原細胞   
PO:0000351	guard mother cell	孔辺母細胞   
PO:0000352	myrosin cell	ミロシン細胞   
PO:0000353	passage cell	通過細胞   
PO:0000355	fiber tracheid	繊維仮導管   
PO:0000372	metaxylem	後生木部   
PO:0000373	mucilage cell	粘液細胞
PO:0000400	phloem mother cell	師部母細胞   
PO:0000423	plant zygote	植物接合子、接合体   
PO:0000431	megasporocyte	大胞子母細胞   
PO:0002000	stomatal complex	気孔装置   
PO:0002001	papillae	乳頭状突起   
PO:0002002	embryo basal cell	胚基底細胞   
PO:0002003	xylem vessel member	木質部道管状要素   
PO:0002004	silk scar	シルクの痕跡   
PO:0003000	transition zone	移行領域、移行帯、移行域   
PO:0003004	haustorial root	吸器根（寄生植物の根）
PO:0003005	nodal root	節根   
PO:0003011	root vascular system	根維管系   
PO:0003015	primary root differentiation zone	一次根分化帯（層）
PO:0003016	lateral root differentiation zone	側根分裂帯（層） 
PO:0003017	root cap of primary root	主根の根冠   
PO:0003018	root cap of lateral root	側根の根冠   
PO:0003019	central root cap of lateral root	側根の中心根冠   
PO:0003020	lateral root cap of lateral root	側根の側根冠   
PO:0003021	central root cap of primary root	一次根の中心根冠   
PO:0003022	lateral root cap of primary root	一次根の側根冠   
PO:0003023	root nodule	根粒   
PO:0003024	stolon	ストロン、ほふく茎   
PO:0004001	bulliform cell	泡状細胞   
PO:0004002	contact cell	接触細胞
PO:0004003	phellem	コルク組織（＝cork tissue)   
PO:0004004	epithelium cell	上皮細胞
PO:0004005	laticiferous cell	乳細胞
PO:0004006	mesophyll cell	葉肉細胞   
PO:0004007	phelloid cell	コルク様（スベリン無）細胞
PO:0004008	photosynthetic cell	光合成細胞
PO:0004009	silica cell	ケイ酸細胞、珪酸細胞   
PO:0004010	meristematic cell	分裂組織細胞
PO:0004011	initial cell	始原細胞   
PO:0004012	secretory cell	分泌細胞
PO:0004013	epidermal cell	表皮細胞   
PO:0004509	glandular trichome	腺毛   
PO:0004511	seed trichome	種子毛（毛茸、糸状体、毛状突起体）
PO:0004512	heartwood	心材   
PO:0004513	sapwood	液材、辺材   
PO:0004514	growth ring	年輪（＝annual ring)   
PO:0004515	early wood	早材   
PO:0004516	late wood	晩材   
PO:0004517	growth ring boundary	年輪境界線   
PO:0004518	bark	樹皮   
PO:0004519	phloem fiber cell	師部繊維   
PO:0004520	libriform fiber cell	真性木繊維   
PO:0004521	septate fiber cell	隔壁繊維細胞 
PO:0004522	outer vascular cambium	外側維管 形成層   
PO:0004523	included vascular cambium	材内維管形成層   
PO:0004524	included phloem	材内師部   
PO:0004525	secondary xylem parenchyma cell	二次木部柔組織細胞   
PO:0004526	axial secondary xylem parenchyma cell	軸方向二次木部柔組織細胞   
PO:0004527	ray secondary xylem parenchyma cell	放射状二次木部柔組織細胞   
PO:0004528	upright ray secondary xylem parenchyma cell	直立放射状二次木部柔組織細胞   
PO:0004529	procumbent ray secondary xylem parenchyma cell	平伏放射二次木部柔組織細胞  
PO:0004530	tile cell	タイル細胞   
PO:0004531	sheath cell	鞘細胞   
PO:0004532	secondary xylem parenchyma	二次木部柔組織   
PO:0004533	axial secondary xylem parenchyma	軸方向二次木部柔組織   
PO:0004534	ray secondary xylem parenchyma	放射状二次木質部柔組織   
PO:0004535	fruit placenta	果実の胎座   
PO:0004536	fruit pedicel	果柄   
PO:0004537	nucellar plant embryo	珠心由来の不定胚   
PO:0004538	indeterminate nodule	無限型根粒   
PO:0004539	determinate nodule	有限型根粒   
PO:0004540	fruit columella	果実柱軸   
PO:0004542	rhizome	根茎=root stock   
PO:0004543	shoot axis tuber	シュート軸塊茎   
PO:0004544	root-borne shoot system	根由来苗条系   
PO:0004545	shoot-borne shoot system	シュート由来苗条系   
PO:0004546	epicomic shoot	後生枝   
PO:0004547	subterranean tuber	地下塊茎   
PO:0004548	aerial tuber	むかご(珠芽）propagule   
PO:0004700	anther wall middle layer	葯壁中間層   
PO:0004701	short shoot	短枝   
PO:0004702	long shoot	長枝   
PO:0004703	carpel primordium	心皮原基(可視的）
PO:0004704	sepal primordium	がく片原基（可視的） 
PO:0004705	stamen primordium	雄蕊原基（可視的）
PO:0004706	flower primordium	花原基（可視的）   
PO:0004707	fruit dehiscence zone	裂開果帯   
PO:0004708	scutellar node	胚盤節   
PO:0004709	axillary bud	腋芽   
PO:0004710	axillary flower bud	腋花芽   
PO:0004711	axillary inflorescence bud	腋花序芽   
PO:0004712	axillary vegetative bud	腋枝芽   
PO:0004713	terminal bud	頂芽   
PO:0004714	terminal flower bud	頂花芽   
PO:0004715	terminal inflorescence bud	花序頂芽   
PO:0004716	terminal vegetative bud	栄養成長型頂芽   
PO:0004717	long cell	長細胞   
PO:0004718	short cell	短細胞   
PO:0004719	hilum groove	へそ（種子）溝   
PO:0004720	paraclade	側生分枝（=lateral branch）   
PO:0004721	paraclade cortex	側生分枝皮層   
PO:0004722	pedicel cortex	小花柄皮層   
PO:0004723	sepal vascular system	がく片維管系   
PO:0004724	hypocotyl-root junction	胚軸-根合流点   
PO:0004725	abaxial side of leaf primordium	葉原基の裏側、背軸側   
PO:0004726	adaxial side of leaf primordium	葉原基(可視的）の表側、向軸側   
PO:0005001	basal axillary shoot system	基底腋枝系
PO:0005002	cauline axillary shoot	茎生腋枝   
PO:0005003	shoot axis trichome	シュート軸毛（毛茸、糸状体）   
PO:0005004	shoot node	シュート 節   
PO:0005005	shoot internode	シュート節間   
PO:0005006	articulated laticifer	連合乳管（有節乳管）   
PO:0005007	non-articulated laticifer	無節乳管、単乳管   
PO:0005009	carpel septum	心皮隔壁   
PO:0005010	anther septum	葯隔壁   
PO:0005011	anther dehiscence zone	開葯帯   
PO:0005012	pedicel vascular system	小花柄維管系   
PO:0005013	hypocotyl epidermis	胚軸 表皮   
PO:0005014	embryo cortex	胚皮層   
PO:0005015	embryo endodermis	胚内胚葉   
PO:0005016	replum	隔膜   
PO:0005017	flower vascular system	花維管 系   
PO:0005018	stamen vascular system	雄蕊維管系   
PO:0005019	carpel vascular system	心皮維管系   
PO:0005020	vascular bundle	維管束   
PO:0005021	sepal margin	がく片縁   
PO:0005022	ovary wall	子房壁   
PO:0005023	abaxial epidermis of ovary	子房の裏側、背軸側の表皮   
PO:0005024	adaxial epidermis of ovary	子房の表側、向軸側の表皮   
PO:0005025	middle layer of ovary wall	子房壁の中間層   
PO:0005026	root giant cell	根巨大細胞   
PO:0005027	root syncytium cell	根融合細胞   
PO:0005028	inflorescence vascular system	花序維管系   
PO:0005029	root primordium	根原基（可視的） 
PO:0005039	primary thickening meristem	一次 肥厚（膜）分裂組織   
PO:0005040	root pith	根髄   
PO:0005041	shoot axis pith	シュート軸髄   
PO:0005043	secondary phloem	二次師部   
PO:0005046	periderm	周皮   
PO:0005047	root periderm	根周皮   
PO:0005048	shoot axis periderm	シュート軸周皮   
PO:0005050	phelloderm	コルク皮層   
PO:0005051	hypodermis	真皮   
PO:0005052	plant callus	植物カルス   
PO:0005053	laticifer	乳管   
PO:0005057	shoot axis hypodermis	シュート軸真皮   
PO:0005058	shoot axis endodermis	シュート軸内胚葉   
PO:0005059	root endodermis	根内皮   
PO:0005060	leaf endodermis	葉内皮   
PO:0005349	schizo-lysigenous aerenchyma	離破生通気組織(schizogenous?)
PO:0005352	xylem	木質部   
PO:0005360	aleurone layer	糊粉粒、アリューロン層   
PO:0005415	endosperm parenchyma	内胚乳、胚乳柔組織   
PO:0005417	phloem	師部、師管
PO:0005421	parenchyma	柔組織   
PO:0005423	collenchyma	厚角組織   
PO:0005426	chlorenchyma	同化組織、葉緑組織   
PO:0005427	sclerenchyma	厚膜組織   
PO:0005597	cambium	形成層   
PO:0005598	vascular cambium	維管束形成層   
PO:0005599	cork cambium	コルク形成層   
PO:0005621	angular collenchyma	角隅厚角組織
PO:0005632	lacunar collenchyma	間隙厚角組織
PO:0005633	lamellar collenchyma	ラメラ厚角組織
PO:0005645	leaf mesophyll	葉の葉肉   
PO:0005647	spongy mesophyll	海綿状葉肉   
PO:0005648	palisade mesophyll	柵状葉肉   
PO:0005656	portion of secretory tissue	分泌組織の一部   
PO:0005660	hydathode	排水組織   
PO:0005661	salt gland	塩腺   
PO:0005665	resin canal	樹脂道   
PO:0005669	oil gland	油胞、油腺   
PO:0005679	epidermis	表皮   
PO:0005702	aerenchyma	通気組織   
PO:0005704	rhexigenous aerenchyma	破生通気組織
PO:0005706	lysigenous aerenchyma	崩潰通気組織
PO:0005708	cortex	皮層   
PO:0005752	promeristem	前分裂組織
PO:0005772	exodermis	外皮   
PO:0005848	secondary xylem	二次木部   
PO:0005849	primary xylem	一次木部   
PO:0006000	caryopsis hull	イネ科植物 籾殻、外皮   
PO:0006001	phyllome	フィロム、葉(的）器官   
PO:0006002	lower glume	第一苞頴(first glume)   
PO:0006003	scale leaf	鱗片葉   
PO:0006004	upper glume	第二苞頴(second glume)   
PO:0006005	carpel anlagen	心皮原基   
PO:0006006	anther wall primary parietal cell layer	葯壁一次側膜細胞層、壁細胞層   
PO:0006007	anther wall secondary parietal cell layer	葯壁二次側膜細胞層、壁細胞層   
PO:0006008	anther wall inner secondary parietal cell layer	葯壁内二次側膜細胞層   
PO:0006009	anther wall outer secondary parietal cell layer	葯壁外二次側膜細胞層、壁細胞層   
PO:0006010	primary parietal cell	一次側膜細胞、壁細胞   
PO:0006011	lateral leaf vein	側脈   
PO:0006012	leaf collar	葉頚領（カラー）   
PO:0006013	juice sac	胞のう   
PO:0006014	male archesporial cell	雄性胞原細胞   
PO:0006015	female archesporial cell	雌胞原細胞   
PO:0006016	leaf epidermis	葉表皮   
PO:0006017	helobial endosperm	沼生目型胚乳   
PO:0006018	leaf adaxial epidermis	葉向軸側表皮   
PO:0006019	leaf abaxial epidermis	葉背軸側表皮   
PO:0006020	lateral root apical meristem	側根頂端分裂組織   
PO:0006021	adventitious root apical meristem	不定根頂端分裂組織   
PO:0006022	bundle sheath extension	維管束鞘延長部   
PO:0006023	bundle sheath	維管束鞘   
PO:0006024	parenchyma sheath	柔組織 鞘   
PO:0006025	mestome sheath	メストム鞘、維管束鞘の内側、維管束鞘延長部   
PO:0006032	lemma awn	外頴芒   
PO:0006033	paleal apiculus	内頴頂端   
PO:0006034	leaflet margin	小葉縁   
PO:0006035	shoot epidermis	シュート表皮   
PO:0006036	root epidermis	根表皮   
PO:0006039	adventitious root epidermis	不定根表皮   
PO:0006040	sepal epidermis	がく片表皮   
PO:0006041	petal epidermis	花弁表皮   
PO:0006042	velamen	根被（套被）   
PO:0006043	integument epidermis	珠皮表皮   
PO:0006044	inner integument epidermis	内珠皮表皮   
PO:0006045	outer integument epidermis	外珠皮表皮   
PO:0006048	seed coat epidermis	種子種皮表皮   
PO:0006049	scutellum epidermis	胚盤表皮   
PO:0006050	exotesta	外珠皮の外側の表皮から発生する外種皮   
PO:0006051	endotesta	外珠皮の内側の表皮から発生する外種皮   
PO:0006052	petal abaxial epidermis	花弁背軸側 表皮   
PO:0006053	petal adaxial epidermis	花弁向軸側 表皮   
PO:0006054	sepal abaxial epidermis	がく片背軸側 表皮   
PO:0006055	sepal adaxial epidermis	がく片向軸側 表皮   
PO:0006056	cotyledon epidermis	子葉 表皮   
PO:0006057	cotyledon abaxial epidermis	子葉 背軸側 表皮   
PO:0006058	cotyledon adaxial epidermis	子葉 向軸側 表皮   
PO:0006060	filament epidermis	花糸表皮   
PO:0006061	stigma epidermis	柱頭 表皮   
PO:0006062	style epidermis	花柱表皮   
PO:0006063	ovary epidermis	子房表皮   
PO:0006065	hypocotyl endodermis	胚軸内胚葉   
PO:0006066	petiole parenchyma	葉柄柔組織   
PO:0006067	cambium-like transitional zone	形成層様移行帯
PO:0006068	sepal parenchyma	がく片柔組織   
PO:0006069	petal parenchyma	花弁柔組織   
PO:0006070	mesophyll	葉肉   
PO:0006071	petal mesophyll	花弁葉肉   
PO:0006072	sepal mesophyll	がく片葉肉   
PO:0006073	intercalary meristem	節間分裂組織、介在分裂組織
PO:0006075	primary phloem	一次師部   
PO:0006076	metaphloem	後生師部   
PO:0006077	protophloem	原生師部
PO:0006078	primary vascular tissue	一次維管束組織
PO:0006079	shoot meristem	シュート分裂組織   
PO:0006080	secondary vascular tissue	二次維管束組織
PO:0006081	primary root apical meristem	一次根頂端分裂組織   
PO:0006082	abaxial protoderm	背軸側前表皮
PO:0006083	adaxial protoderm	向軸側前表皮
PO:0006084	portion of transfusion tissue	移入組織の一部   
PO:0006085	root meristem	根分裂組織   
PO:0006086	accessory transfusion tissue	副(補助）移入組織
PO:0006087	proliferation tissue	増殖組織
PO:0006088	primary sporogenous cell	一次胞子形成細胞   
PO:0006089	anther primordium	葯原基(可視的）
PO:0006090	organogenic callus	器官形成カルス   
PO:0006091	embryogenic callus	胚状カルス   
PO:0006109	pith	髄   
PO:0006200	fascicular cambium	維管束内形成層   
PO:0006201	interfascicular cambium	維管束間形成層   
PO:0006202	interfascicular region	維管束間領域   
PO:0006203	pericycle	内鞘   
PO:0006204	sporocyte	胞子母細胞   
PO:0006205	spongy mesophyll cell	海綿状葉肉細胞   
PO:0006206	palisade mesophyll cell	柵状葉肉細胞   
PO:0006207	exodermal passage cell	外皮通過細胞   
PO:0006208	endodermal passage cell	内胚葉通過細胞   
PO:0006209	lateral root epidermis	側根表皮
PO:0006210	protoderm	前表皮、原表皮
PO:0006211	separation layer	隔離層   
PO:0006212	protective layer	保護層   
PO:0006213	root aerenchyma	根通気組織   
PO:0006214	stem aerenchyma	茎通気組織   
PO:0006215	leaf aerenchyma	葉通気組織   
PO:0006216	internal phloem	内部師部
PO:0006218	exotegmen	内珠皮の外側の表皮から発生する内種皮   
PO:0006219	endotegmen	内珠皮の内側の表皮から発生する内種皮   
PO:0006220	central endosperm	中心内胚乳、胚乳   
PO:0006221	articulated laticifer cell	連合乳管（有節乳管）細胞   
PO:0006222	non-articulated laticifer cell	無節乳管細胞、単乳管細胞   
PO:0006301	corpus	内体
PO:0006302	tunica	外衣
PO:0006303	L1	L1
PO:0006304	L2	L2
PO:0006305	L3	L3
PO:0006307	root procambium	根前形成層   
PO:0006308	root lateral meristem	根側部分裂組織   
PO:0006309	tassel spikelet	雄穂（花）の小穂   
PO:0006310	tassel floret	雄穂小花   
PO:0006311	tassel sessile spikelet	雄穂（花）の無柄小穂   
PO:0006312	tassel pedicellate spikelet	雄穂（花）の有柄小穂   
PO:0006313	lower floret of pedicellate spikelet of tassel	雄穂（花）の有柄小穂の下位小花   
PO:0006314	upper floret of pedicellate spikelet of tassel	雄穂（花）の有柄小穂の上位小花   
PO:0006315	lower floret of sessile spikelet of tassel	雄穂（花）の無柄小穂の下位小花   
PO:0006316	upper floret of sessile spikelet of tassel	雄穂（花）の無柄小穂の上位小花   
PO:0006319	spikelet pedicel	小穂小花柄   
PO:0006320	ear spikelet	雌穂（花）小穂   
PO:0006321	second order inflorescence axis	第二花序軸   
PO:0006322	third order inflorescence axis	第三花序軸   
PO:0006323	tassel branch	雄穂枝   
PO:0006324	central spike of tassel	雄穂(花）中央の穂   
PO:0006325	inflorescence node	花序節   
PO:0006326	inflorescence internode	花序節間   
PO:0006327	spikelet meristem	小穂分裂組織   
PO:0006328	spikelet pair meristem	小穂対分裂組織   
PO:0006330	gynophore	花被間柱、子房柄、雌蕊柄   
PO:0006331	seed raphe	種子背線、縫線   
PO:0006332	seed funicle	種子種柄   
PO:0006333	seed chalaza	種子 カラザ   
PO:0006334	seed micropyle	種子珠孔   
PO:0006336	seed obturator	種子閉塞組織   
PO:0006338	embryo leaf	初期の葉、胚葉
PO:0006339	juvenile vascular leaf	維管束系幼葉
PO:0006340	adult vascular leaf	維管束系の成葉
PO:0006341	primary shoot	一次分げつ系
PO:0006342	infructescence	果序   
PO:0006343	axillary shoot system	腋苗条系   
PO:0006344	shoot lateral meristem	茎側分裂組織   
PO:0006345	pollen tube	花粉管   
PO:0006346	leaf intercalary meristem	葉 介在 分裂組織   
PO:0006347	stem intercalary meristem	茎介在分裂組織   
PO:0006348	ear pedicellate spikelet	雌穂（花）の有柄小穂   
PO:0006349	ear sessile spikelet	雌穂の無柄小穂   
PO:0006350	upper floret of pedicellate spikelet of ear	雌穂（花）の有柄小穂の上位小花   
PO:0006351	lower floret of sessile spikelet of ear	雌穂（花）の無柄小穂の下位小花   
PO:0006352	upper floret of sessile spikelet of ear	雌穂（花）の無柄小穂の上位小花   
PO:0006353	lower floret of pedicellate spikelet of ear	雌穂（花）の有柄小穂の下位小花   
PO:0006354	ear floret	雌穂小花   
PO:0006358	tassel spikelet pair meristem	雄穂（花）の小穂対分裂組織   
PO:0006360	ear spikelet pair meristem	雌穂（花）小穂対分裂組織   
PO:0006362	embryo shoot apical meristem	胚性シュート頂端分裂組織   
PO:0006367	glume of ear spikelet	雌穂小穂の苞頴   
PO:0006368	glume of tassel spikelet	雄穂小穂の苞頴   
